"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Detective Conan: Captured in Her Eyes",2000,100,"Adventure,Animation,Crime",7.6,2051,"2000","Crime","Just Nice"
"House of Good and Evil",2013,108,"Thriller",6.5,7889,"2010","Thriller","Long"
"In the Name of God",2007,168,"Drama",8.4,9054,"2005","Drama","Extremely Long"
"Midnight Son",2011,88,"Horror",5.9,1699,"2010","Horror","Very Short"
"Departures",2008,130,"Drama,Music",8.1,47947,"2005","Music","Extremely Long"
"Moffie",2019,104,"Drama,Romance,War",6.9,1179,"2015","War","Just Nice"
"Fleabag",2019,80,"Comedy",8.4,1264,"2015","Comedy","Very Short"
"Collective",2019,109,"Documentary",8.3,1413,"2015","Documentary","Long"
"The Secrets of Jonathan Sperry",2008,96,"Drama",6.7,1308,"2005","Drama","Short"
"The War Boys",2009,93,"Crime,Drama,Romance",6.6,1576,"2005","Crime","Short"
"Hero",2019,164,"Action,Drama,Thriller",6.4,1320,"2015","Thriller","Extremely Long"
"Eftyhia",2019,123,"Biography",8.1,2438,"2015","Biography","Extremely Long"
"Comali",2019,143,"Comedy",6.9,1918,"2015","Comedy","Extremely Long"
"I Was Here",2008,95,"Crime,Drama",7.1,1077,"2005","Drama","Short"
"Ink",2009,107,"Action,Drama,Fantasy",6.9,20931,"2005","Fantasy","Long"
"Mao's Last Dancer",2009,117,"Biography,Drama,Music",7.3,7358,"2005","Biography","Long"
"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom",2006,95,"Action,Adventure,Animation",6.5,3161,"2005","Adventure","Short"
"Ghost Rider: Spirit of Vengeance",2011,96,"Action,Fantasy,Thriller",4.3,109647,"2010","Fantasy","Short"
"The Crew",2008,123,"Action,Crime,Drama",5.9,2599,"2005","Crime","Extremely Long"
"Not Since You",2009,90,"Drama,Romance",5.5,1759,"2005","Drama","Very Short"
"Winchester",2018,99,"Biography,Drama,Fantasy",5.4,29729,"2015","Drama","Just Nice"
"Messages Deleted",2010,92,"Thriller",5,2009,"2010","Thriller","Short"
"Minutemen",2008,98,"Adventure,Comedy,Family",5.8,5356,"2005","Family","Just Nice"
"The Descent: Part 2",2009,94,"Action,Adventure,Drama",5.8,43329,"2005","Action","Short"
"Detective Conan: Countdown to Heaven",2001,100,"Action,Animation,Crime",7.6,1877,"2000","Crime","Just Nice"
"Nothing But the Truth",2008,108,"Crime,Drama,Mystery",7.2,35804,"2005","Crime","Long"
"Prayers for Bobby",2009,90,"Biography,Drama,Romance",8.1,15315,"2005","Romance","Very Short"
"Helen",2019,117,"Drama,Thriller",7.7,2009,"2015","Thriller","Long"
"Frontier of the Dawn",2008,106,"Drama,Romance",6.6,1100,"2005","Romance","Long"
"Supravietuitorul",2008,106,"Crime",6.2,1099,"2005","Crime","Long"
"The Betrayed",2008,98,"Crime,Drama,Mystery",5.9,2089,"2005","Drama","Just Nice"
"Sorry, If I Love You",2008,103,"Romance",6.2,4815,"2005","Romance","Just Nice"
"The Six Wives of Henry Lefay",2009,95,"Comedy",5.1,3001,"2005","Comedy","Short"
"Our Planet: Behind the Scenes",2019,63,"Documentary",8.3,1000,"2015","Documentary","Very Short"
"Skyfall",2012,143,"Action,Adventure,Thriller",7.7,623221,"2010","Adventure","Extremely Long"
"Adoration",2008,101,"Drama,Romance",6.3,3172,"2005","Romance","Just Nice"
"The Misfortunates",2009,108,"Comedy,Drama",7.4,10006,"2005","Comedy","Long"
"Don't Look Back",2009,111,"Drama,Horror,Mystery",5.8,6350,"2005","Drama","Long"
"Tutta la vita davanti",2008,117,"Comedy,Drama,Romance",6.9,2824,"2005","Drama","Long"
"Race to Witch Mountain",2009,98,"Action,Adventure,Family",5.7,55054,"2005","Action","Just Nice"
"Shinjuku Incident",2009,119,"Action,Crime,Drama",7,11521,"2005","Crime","Long"
"A Night of Horror: Nightmare Radio",2019,104,"Horror,Mystery",5.1,1259,"2015","Horror","Just Nice"
"Jonah Hex",2010,81,"Action,Drama,Fantasy",4.7,54881,"2010","Drama","Very Short"
"Reykjavik Whale Watching Massacre",2009,90,"Comedy,Horror",4.9,1867,"2005","Comedy","Very Short"
"Miss Austen Regrets",2007,90,"Biography,Drama,History",7.1,3020,"2005","History","Very Short"
"Picture This",2008,92,"Comedy,Drama,Romance",5.3,9739,"2005","Comedy","Short"
