"Movie","Year","Duration","Genres","Rating","Num_of_Votes","Five_Year","Final_Genre","Types_of_Duration"
"Bulletproof",1996,84,"Action,Comedy,Crime",5.8,34857,"1995","Comedy","Very Short"
"Bámbola",1996,92,"Comedy,Drama",4.6,1222,"1995","Drama","Short"
"The Cable Guy",1996,96,"Comedy,Drama,Thriller",6.1,150908,"1995","Comedy","Short"
"Campfire Tales",1997,88,"Horror",5.9,3670,"1995","Horror","Very Short"
"The Canterville Ghost",1996,92,"Drama,Family,Fantasy",6.2,2149,"1995","Family","Short"
"Captain Conan",1996,129,"Drama,War",7.2,1882,"1995","War","Extremely Long"
"Carla's Song",1996,127,"Drama,Romance,War",6.8,2985,"1995","War","Extremely Long"
"Carpool",1996,89,"Comedy",5,4458,"1995","Comedy","Very Short"
"Carried Away",1996,109,"Drama,Romance",6.2,1466,"1995","Drama","Long"
"Caught",1996,110,"Drama,Thriller",6.5,1149,"1995","Thriller","Long"
"Celtic Pride",1996,91,"Comedy,Sport",5.3,9466,"1995","Sport","Short"
"When the Cat's Away",1996,91,"Comedy,Romance",6.8,3167,"1995","Comedy","Short"
"Chain Reaction",1996,107,"Action,Drama,Sci-Fi",5.7,47452,"1995","Sci-Fi","Long"
"The Chamber",1996,113,"Crime,Drama,Thriller",6,12507,"1995","Thriller","Long"
"Children of the Revolution",1996,101,"Comedy,Drama,Romance",6.3,2230,"1995","Drama","Just Nice"
"The Cyclone",1996,93,"Comedy,Romance",6.8,3400,"1995","Comedy","Short"
"Citizen Ruth",1996,106,"Comedy,Drama",7,7211,"1995","Drama","Long"
"City Hall",1996,111,"Drama,Thriller",6.2,19395,"1995","Thriller","Long"
"Commandments",1997,88,"Comedy,Drama,Romance",5.5,1530,"1995","Comedy","Very Short"
"My Sex Life... or How I Got Into an Argument",1996,178,"Comedy,Drama,Romance",6.8,1323,"1995","Romance","Extremely Long"
"A Summer's Tale",1996,113,"Comedy,Drama,Romance",7.6,6319,"1995","Comedy","Long"
"Things I Never Told You",1996,93,"Comedy,Drama,Romance",6.8,1267,"1995","Drama","Short"
"Cosi",1996,100,"Comedy,Drama,Music",6.6,1795,"1995","Drama","Just Nice"
"Courage Under Fire",1996,116,"Action,Drama,Mystery",6.6,49597,"1995","Action","Long"
"The Craft",1996,101,"Drama,Fantasy,Horror",6.4,76156,"1995","Fantasy","Just Nice"
"Crash",1996,100,"Drama",6.4,51117,"1995","Drama","Just Nice"
"The Crow: City of Angels",1996,84,"Action,Crime,Fantasy",4.7,18987,"1995","Crime","Very Short"
"The Crucible",1996,124,"Drama,History",6.8,34802,"1995","History","Extremely Long"
"Curdled",1996,88,"Comedy,Crime,Thriller",5.9,4859,"1995","Thriller","Very Short"
"D3: The Mighty Ducks",1996,104,"Action,Comedy,Drama",5.5,24308,"1995","Action","Just Nice"
"Forbidden City Cop",1996,89,"Action,Comedy,Fantasy",7,3463,"1995","Action","Very Short"
"Dating the Enemy",1996,97,"Comedy,Fantasy,Romance",6.5,1644,"1995","Comedy","Short"
"Daylight",1996,114,"Action,Adventure,Drama",5.9,65813,"1995","Drama","Long"
"The Daytrippers",1996,87,"Comedy,Drama",6.9,4510,"1995","Comedy","Very Short"
"Dear God",1996,112,"Comedy",5.5,3587,"1995","Comedy","Long"
"The Dentist",1996,92,"Horror",5.3,8263,"1995","Horror","Short"
"Diabolique",1996,107,"Drama,Horror,Mystery",5.5,13248,"1995","Horror","Long"
"Different for Girls",1996,97,"Comedy,Drama,Romance",7,1849,"1995","Romance","Short"
"Doctor Who",1996,89,"Adventure,Drama,Sci-Fi",6.4,8754,"1995","Sci-Fi","Very Short"
"Don't Be a Menace to South Central While Drinking Your Juice in the Hood",1996,89,"Comedy,Crime",6.6,47404,"1995","Crime","Very Short"
"Down Periscope",1996,92,"Comedy",6.2,20785,"1995","Comedy","Short"
"DragonHeart",1996,103,"Action,Adventure,Fantasy",6.5,90195,"1995","Action","Just Nice"
"Drawing Flies",1996,76,"Comedy",5.4,1326,"1995","Comedy","Very Short"
"Dream for an Insomniac",1996,90,"Comedy,Drama,Romance",6.1,2588,"1995","Drama","Very Short"
"Drive",1997,100,"Action,Adventure,Comedy",6.8,5384,"1995","Adventure","Just Nice"
"Dunston Checks In",1996,88,"Adventure,Comedy,Family",5.4,11791,"1995","Family","Very Short"
"Ebola Syndrome",1996,98,"Crime,Horror",6.5,3511,"1995","Crime","Just Nice"
"Regular Guys",1996,102,"Comedy,Crime,Romance",6.8,1388,"1995","Comedy","Just Nice"
"Eddie",1996,100,"Comedy,Sport",5.2,9173,"1995","Comedy","Just Nice"
"Emma",1996,120,"Comedy,Drama,Romance",6.6,35419,"1995","Drama","Extremely Long"
"The English Patient",1996,162,"Drama,Romance,War",7.4,176367,"1995","Drama","Extremely Long"
"Eraser",1996,115,"Action,Drama,Thriller",6.1,102425,"1995","Drama","Long"
"Escape from L.A.",1996,101,"Action,Adventure,Sci-Fi",5.8,68858,"1995","Sci-Fi","Just Nice"
"The Bandit",1996,128,"Crime,Drama,Thriller",8.2,62611,"1995","Thriller","Extremely Long"
"The Evening Star",1996,129,"Comedy,Drama,Romance",5.9,4169,"1995","Romance","Extremely Long"
"Everyone Says I Love You",1996,101,"Comedy,Musical,Romance",6.7,34977,"1995","Romance","Just Nice"
"Evil Ed",1995,93,"Comedy,Horror",5.6,3233,"1995","Horror","Short"
"Evita",1996,135,"Biography,Drama,History",6.3,33737,"1995","Biography","Extremely Long"
"Executive Decision",1996,133,"Action,Adventure,Thriller",6.4,50019,"1995","Adventure","Extremely Long"
"Extreme Measures",1996,118,"Crime,Drama,Mystery",6.2,16860,"1995","Mystery","Long"
"Eye for an Eye",1996,101,"Crime,Drama,Thriller",6.2,13283,"1995","Crime","Just Nice"
"Eye of God",1997,84,"Crime,Drama",7.2,1130,"1995","Drama","Very Short"
"Faithful",1996,91,"Comedy,Crime,Drama",5.8,1936,"1995","Drama","Short"
"Familia",1996,98,"Comedy,Drama,Family",7.2,1226,"1995","Drama","Just Nice"
"A Family Thing",1996,109,"Comedy,Drama",7,3170,"1995","Comedy","Long"
"The Fan",1996,116,"Action,Drama,Sport",5.9,45710,"1995","Drama","Long"
"Fantozzi - Il ritorno",1996,97,"Comedy",5.4,1042,"1995","Comedy","Short"
"Fargo",1996,98,"Crime,Drama,Thriller",8.1,605686,"1995","Drama","Just Nice"
"Fear",1996,97,"Drama,Thriller",6.3,40516,"1995","Drama","Short"
"Feeling Minnesota",1996,99,"Comedy,Crime,Drama",5.4,10441,"1995","Comedy","Just Nice"
"Female Perversions",1996,120,"Drama,Fantasy,Thriller",5.4,2296,"1995","Thriller","Extremely Long"
"Temptress Moon",1996,130,"Drama,Romance",6.8,1749,"1995","Drama","Extremely Long"
"Fire",1996,108,"Drama,Romance",7.2,5649,"1995","Romance","Long"
"First Kid",1996,101,"Comedy,Family",5.3,10099,"1995","Family","Just Nice"
"The First Wives Club",1996,103,"Comedy",6.4,42729,"1995","Comedy","Just Nice"
"Fled",1996,98,"Action,Adventure,Crime",5.4,8449,"1995","Crime","Just Nice"
"Flipper",1996,95,"Adventure,Family",5.3,10085,"1995","Adventure","Short"
"Flirting with Disaster",1996,92,"Comedy",6.7,17536,"1995","Comedy","Short"
"Fly Away Home",1996,107,"Adventure,Drama,Family",6.8,23297,"1995","Adventure","Long"
"Forest Warrior",1996,93,"Action,Adventure,Comedy",3.7,2425,"1995","Adventure","Short"
"Forgotten Silver",1995,53,"Comedy",7.4,5691,"1995","Comedy","Very Short"
"The Fortunes and Misfortunes of Moll Flanders",1996,54,"Comedy,Drama,Romance",7.8,1174,"1995","Romance","Very Short"
"Foxfire",1996,102,"Drama",6.2,8500,"1995","Drama","Just Nice"
"Freeway",1996,102,"Comedy,Crime,Drama",6.8,26040,"1995","Drama","Just Nice"
"The Frighteners",1996,110,"Comedy,Fantasy,Horror",7.1,81057,"1995","Comedy","Long"
"From Dusk Till Dawn",1996,108,"Action,Crime,Horror",7.2,282831,"1995","Horror","Long"
"The Funeral",1996,99,"Crime,Drama",6.6,8152,"1995","Crime","Just Nice"
"Gabbeh",1996,75,"Drama,Mystery,Romance",6.9,2987,"1995","Mystery","Very Short"
"Gamera 2: Attack of the Legion",1996,99,"Action,Fantasy,Sci-Fi",7.2,2101,"1995","Sci-Fi","Just Nice"
"Generation X",1996,87,"Action,Adventure,Sci-Fi",4.5,1634,"1995","Action","Very Short"
"Get on the Bus",1996,120,"Drama,History",6.7,5075,"1995","Drama","Extremely Long"
"Getting Away with Murder",1996,91,"Comedy",4.7,1200,"1995","Comedy","Short"
"Ghatak: Lethal",1996,158,"Action,Drama",7.4,3146,"1995","Drama","Extremely Long"
"The Ghost and the Darkness",1996,110,"Adventure,Drama,Thriller",6.9,55651,"1995","Adventure","Long"
"Ghosts of Mississippi",1996,130,"Drama,History",6.7,10010,"1995","Drama","Extremely Long"
"Girl 6",1996,108,"Comedy,Drama",5.1,5830,"1995","Drama","Long"
"The Glimmer Man",1996,91,"Action,Comedy,Crime",5.4,18590,"1995","Crime","Short"
"Glory Daze",1995,100,"Comedy",5.5,3317,"1995","Comedy","Just Nice"
"The God of Cookery",1996,88,"Action,Comedy,Fantasy",7.3,8084,"1995","Action","Very Short"
"Gotti",1996,117,"Biography,Crime,Drama",7.2,6384,"1995","Drama","Long"
"Grace of My Heart",1996,116,"Comedy,Drama,Music",6.7,3541,"1995","Comedy","Long"
"The Grave",1996,90,"Comedy,Horror",5.7,1026,"1995","Horror","Very Short"
"Gray's Anatomy",1996,80,"Comedy,Drama",6.8,2071,"1995","Drama","Very Short"
"The Great White Hype",1996,91,"Comedy,Sport",5.5,8345,"1995","Comedy","Short"
"Young and Dangerous",1996,97,"Action,Crime,Thriller",7.1,1502,"1995","Thriller","Short"
"Hamlet",1996,242,"Drama",7.7,35682,"1995","Drama","Extremely Long"
"Hamsun",1996,159,"Biography,Drama,War",7.1,1444,"1995","Biography","Extremely Long"
"Hands on a Hardbody: The Documentary",1997,98,"Comedy,Documentary",7.6,1747,"1995","Documentary","Just Nice"
"Happy Gilmore",1996,92,"Comedy,Sport",7,193968,"1995","Comedy","Short"
"Hard Core Logo",1996,92,"Comedy,Drama,Music",7.3,2553,"1995","Comedy","Short"
"Harriet the Spy",1996,100,"Comedy,Drama,Family",5.9,9544,"1995","Drama","Just Nice"
"Head Above Water",1996,92,"Comedy,Thriller",6,7285,"1995","Thriller","Short"
"Head of the Family",1996,82,"Comedy,Horror",5.3,1470,"1995","Horror","Very Short"
"Hearts & Minds",1995,100,"Drama,History,Thriller",4.8,3275,"1995","Thriller","Just Nice"
"Heaven's Prisoners",1996,132,"Drama,Mystery,Thriller",5.8,4977,"1995","Drama","Extremely Long"
"Hellraiser: Bloodline",1996,85,"Horror,Sci-Fi",5.2,19022,"1995","Horror","Very Short"
"High School High",1996,86,"Comedy,Crime,Romance",5.6,12569,"1995","Comedy","Very Short"
"Homeward Bound II: Lost in San Francisco",1996,88,"Adventure,Comedy,Family",6,13581,"1995","Family","Very Short"
"House Arrest",1996,108,"Comedy,Family",5.8,7941,"1995","Comedy","Long"
"The Eighth Day",1996,118,"Comedy,Drama",7.5,8889,"1995","Comedy","Long"
"The Hunchback of Notre Dame",1996,91,"Animation,Drama,Family",6.9,139549,"1995","Animation","Short"
"Hustler White",1996,79,"Drama,Romance",5.9,1184,"1995","Romance","Very Short"
"Hype!",1996,84,"Documentary,History,Music",7.6,2385,"1995","Music","Very Short"
"I Love You, I Love You Not",1996,88,"Drama,Romance",5.5,2621,"1995","Romance","Very Short"
"I Shot Andy Warhol",1996,103,"Biography,Drama",6.6,6324,"1995","Drama","Just Nice"
"I'm Not Rappaport",1996,135,"Comedy,Drama",6.5,1541,"1995","Comedy","Extremely Long"
"If Lucy Fell",1996,92,"Comedy,Romance",4.9,3781,"1995","Romance","Short"
"If These Walls Could Talk",1996,97,"Drama,Thriller",7,3954,"1995","Drama","Short"
"In Love and War",1996,113,"Biography,Drama,Romance",6,8095,"1995","Romance","Long"
"Independence Day",1996,145,"Action,Adventure,Sci-Fi",7,522210,"1995","Action","Extremely Long"
"Indian",1996,185,"Action,Drama,Thriller",8.1,10348,"1995","Drama","Extremely Long"
"Infinity",1996,119,"Biography,Drama",6.2,1699,"1995","Biography","Long"
"Irma Vep",1996,99,"Comedy,Drama",7,5164,"1995","Comedy","Just Nice"
"The Island of Dr. Moreau",1996,96,"Horror,Sci-Fi,Thriller",4.6,30777,"1995","Thriller","Short"
"It's in the Water",1997,100,"Comedy,Romance",6.1,1573,"1995","Romance","Just Nice"
"Jack",1996,113,"Comedy,Drama,Fantasy",5.8,55544,"1995","Fantasy","Long"
"Le jaguar",1996,100,"Adventure,Comedy",6,3909,"1995","Comedy","Just Nice"
"Body Troopers",1996,91,"Adventure,Family,Fantasy",5.6,1013,"1995","Adventure","Short"
"James and the Giant Peach",1996,79,"Adventure,Animation,Family",6.7,59445,"1995","Animation","Very Short"
"Jane Eyre",1996,112,"Drama,Romance",6.8,9010,"1995","Drama","Long"
"Victory",1996,180,"Action,Romance",5.6,2050,"1995","Romance","Extremely Long"
"Beyond Silence",1996,109,"Drama,Music",7.4,4065,"1995","Drama","Long"
"Jerry Maguire",1996,139,"Comedy,Drama,Romance",7.3,239796,"1995","Comedy","Extremely Long"
"Jerusalem",1996,168,"Drama",6.8,1389,"1995","Drama","Extremely Long"
"First Strike",1996,107,"Action,Adventure,Comedy",6.6,18966,"1995","Action","Long"
"Jingle All the Way",1996,89,"Adventure,Comedy,Family",5.6,89741,"1995","Adventure","Very Short"
"Once a Thief",1996,92,"Action,Crime,Thriller",5.4,1615,"1995","Action","Short"
"Johns",1996,96,"Drama,Romance",6.4,1630,"1995","Drama","Short"
"Jude",1996,123,"Drama,Romance",6.9,9844,"1995","Drama","Extremely Long"
"The Dress",1996,103,"Comedy,Drama",7,1787,"1995","Drama","Just Nice"
"The Juror",1996,118,"Crime,Drama,Thriller",5.7,16949,"1995","Crime","Long"
"The Hunters",1996,113,"Crime,Thriller",7.1,7679,"1995","Crime","Long"
"How the War Started on My Island",1996,97,"Comedy,War",7.8,2491,"1995","Comedy","Short"
"Kama Sutra: A Tale of Love",1996,117,"Crime,Drama,History",6.1,9836,"1995","History","Long"
"Kansas City",1996,116,"Crime,Drama,Music",6.4,4312,"1995","Drama","Long"
"Drifting Clouds",1996,97,"Comedy,Drama",7.7,6807,"1995","Drama","Short"
"Prisoner of the Mountains",1996,99,"Drama,War",7.5,4146,"1995","War","Just Nice"
"Keys to Tulsa",1997,113,"Crime,Drama,Thriller",5.2,1557,"1995","Crime","Long"
"Silence: The Musical",1996,159,"Drama,Musical,Romance",7.5,2622,"1995","Drama","Extremely Long"
"Kids Return",1996,107,"Crime,Drama,Sport",7.5,5421,"1995","Crime","Long"
"Kids in the Hall: Brain Candy",1996,89,"Comedy",6.9,8122,"1995","Comedy","Very Short"
"Killer Tongue",1996,100,"Comedy,Horror,Sci-Fi",4.8,1109,"1995","Horror","Just Nice"
"Kingpin",1996,114,"Comedy,Sport",6.9,76181,"1995","Sport","Long"
"Kissed",1996,78,"Drama,Romance",6.4,3513,"1995","Drama","Very Short"
"Kolya",1996,105,"Comedy,Drama,Music",7.8,14419,"1995","Comedy","Just Nice"
"Killer Condom",1996,107,"Comedy,Horror,Romance",5.3,2841,"1995","Romance","Long"
"Larger Than Life",1996,93,"Comedy,Family",5.7,6756,"1995","Comedy","Short"
"Last Dance",1996,103,"Drama,Thriller",5.7,3886,"1995","Thriller","Just Nice"
"The Last Days of Frankie the Fly",1996,96,"Comedy,Crime,Drama",5.5,1690,"1995","Comedy","Short"
"Last Man Standing",1996,101,"Action,Crime,Drama",6.4,52793,"1995","Action","Just Nice"
"The Last of the High Kings",1996,103,"Comedy,Drama",6.1,1736,"1995","Comedy","Just Nice"
"The Late Shift",1996,95,"Comedy,Drama",6.8,3027,"1995","Comedy","Short"
"The Leading Man",1996,100,"Drama,Romance,Thriller",5.7,1416,"1995","Drama","Just Nice"
"Leila",1997,102,"Drama,Family,Romance",7.6,3317,"1995","Drama","Just Nice"
"Leily Is with Me",1996,95,"Adventure,Comedy,Drama",7.6,3997,"1995","Comedy","Short"
"Pretty Village, Pretty Flame",1996,115,"Comedy,Drama,History",8.7,14388,"1995","History","Long"
"Lilies",1996,95,"Crime,Drama,Fantasy",7.3,2592,"1995","Fantasy","Short"
"Lilla Jönssonligan och cornflakeskuppen",1996,90,"Comedy,Family",4.6,1451,"1995","Comedy","Very Short"
"Little Witches",1996,90,"Horror,Thriller",3.9,1515,"1995","Horror","Very Short"
"Lone Star",1996,135,"Drama,Mystery",7.4,27675,"1995","Mystery","Extremely Long"
"The Long Kiss Goodnight",1996,121,"Action,Crime,Drama",6.8,72005,"1995","Crime","Extremely Long"
"Looking for Richard",1996,112,"Documentary,Drama",7.3,7816,"1995","Documentary","Long"
"Lost Highway",1997,134,"Mystery,Thriller",7.6,128668,"1995","Thriller","Extremely Long"
"Love Is All There Is",1996,120,"Comedy,Romance",5.1,1149,"1995","Comedy","Extremely Long"
"Love Serenade",1996,101,"Comedy,Crime,Drama",6.9,1397,"1995","Crime","Just Nice"
"Love and Other Catastrophes",1996,76,"Comedy,Romance",6.3,1883,"1995","Comedy","Very Short"
"Maachis",1996,160,"Action,Crime,Drama",7.8,1951,"1995","Action","Extremely Long"
"Mad Dog Time",1996,93,"Comedy,Crime,Drama",5.5,2676,"1995","Drama","Short"
"Mahjong",1996,121,"Comedy,Drama",7.5,1047,"1995","Comedy","Extremely Long"
"Manny & Lo",1996,88,"Comedy,Drama",6.5,1818,"1995","Comedy","Very Short"
"Mars Attacks!",1996,106,"Comedy,Sci-Fi",6.3,207646,"1995","Sci-Fi","Long"
"Marvin's Room",1996,98,"Drama",6.7,25268,"1995","Drama","Just Nice"
"Mary Reilly",1996,108,"Drama,Horror,Romance",5.8,13920,"1995","Horror","Long"
"Matilda",1996,98,"Comedy,Family,Fantasy",6.9,125475,"1995","Fantasy","Just Nice"
"Maximum Risk",1996,101,"Action,Thriller",5.5,19968,"1995","Thriller","Just Nice"
"Michael",1996,105,"Comedy,Drama,Fantasy",5.7,40510,"1995","Comedy","Just Nice"
"Michael Collins",1996,133,"Biography,Drama,Thriller",7.2,29165,"1995","Drama","Extremely Long"
"Microcosmos",1996,80,"Documentary",7.9,10608,"1995","Documentary","Very Short"
"The Mirror",1997,95,"Drama",7.5,2400,"1995","Drama","Short"
"The Mirror Has Two Faces",1996,126,"Comedy,Drama,Romance",6.6,15326,"1995","Drama","Extremely Long"
"Mission: Impossible",1996,110,"Action,Adventure,Thriller",7.1,382436,"1995","Thriller","Long"
"Moebius",1996,88,"Mystery,Sci-Fi,Thriller",6.8,1775,"1995","Sci-Fi","Very Short"
"Mojave Moon",1996,95,"Comedy,Romance,Thriller",5.2,2358,"1995","Romance","Short"
"Moll Flanders",1996,123,"Drama,Romance",6.5,3988,"1995","Romance","Extremely Long"
"My Man",1996,99,"Comedy,Drama,Romance",6.5,1266,"1995","Romance","Just Nice"
"Rebirth of Mothra",1996,106,"Action,Adventure,Family",5.9,1146,"1995","Action","Long"
"Mother",1996,104,"Comedy,Drama",6.9,5676,"1995","Comedy","Just Nice"
"Mother Night",1996,114,"Drama,Romance,War",7.1,4866,"1995","Romance","Long"
"Mr. Wrong",1996,96,"Comedy",3.9,4762,"1995","Comedy","Short"
"Mrs. Winterbourne",1996,105,"Comedy,Drama,Romance",6.2,6837,"1995","Romance","Just Nice"
"Mulholland Falls",1996,107,"Crime,Drama,Mystery",6.3,15617,"1995","Drama","Long"
"Multiplicity",1996,117,"Comedy,Romance,Sci-Fi",6.1,29546,"1995","Sci-Fi","Long"
"Muppet Treasure Island",1996,99,"Action,Adventure,Comedy",7,21149,"1995","Action","Just Nice"
"My Fellow Americans",1996,101,"Adventure,Comedy",6.5,13980,"1995","Adventure","Just Nice"
"Mystery Science Theater 3000: The Movie",1996,73,"Comedy,Sci-Fi",7.3,17587,"1995","Sci-Fi","Very Short"
"Jailbirds",1996,96,"Comedy,Crime,Drama",5.9,1566,"1995","Drama","Short"
"Nach Fünf im Urwald",1995,99,"Comedy,Romance",7,1466,"1995","Comedy","Just Nice"
"Goodbye, South, Goodbye",1996,124,"Crime,Drama",7.3,1483,"1995","Crime","Extremely Long"
"Night of the Twisters",1996,92,"Action,Drama,Family",5.9,2093,"1995","Action","Short"
"No One Would Tell",1996,96,"Biography,Crime,Drama",6.7,2131,"1995","Drama","Short"
"No Way Back",1995,91,"Action,Crime,Drama",5.1,2322,"1995","Drama","Short"
"No Way Home",1996,99,"Crime,Drama,Thriller",6.8,1332,"1995","Thriller","Just Nice"
"Norma Jean & Marilyn",1996,139,"Biography,Drama",6,2490,"1995","Drama","Extremely Long"
"Normal Life",1996,101,"Crime,Drama",6.3,2141,"1995","Drama","Just Nice"
"A Moment of Innocence",1996,78,"Comedy,Drama",7.8,3264,"1995","Comedy","Very Short"
"The Nutty Professor",1996,95,"Comedy,Romance,Sci-Fi",5.6,108377,"1995","Sci-Fi","Short"
"Nenette and Boni",1996,103,"Drama",7,1345,"1995","Drama","Just Nice"
"Omega Doom",1996,84,"Drama,Sci-Fi,Thriller",4.2,2845,"1995","Thriller","Very Short"
"One Fine Day",1996,108,"Comedy,Drama,Romance",6.5,42796,"1995","Romance","Long"
"Original Gangstas",1996,99,"Action,Crime,Drama",5.7,1519,"1995","Drama","Just Nice"
"Outsider",1997,100,"Drama",8,1107,"1995","Drama","Just Nice"
"The Pallbearer",1996,98,"Comedy,Romance",4.9,7694,"1995","Romance","Just Nice"
"Palookaville",1995,92,"Comedy,Crime",6.5,2353,"1995","Comedy","Short"
"Paradise Lost: The Child Murders at Robin Hood Hills",1996,150,"Crime,Documentary",8.3,15049,"1995","Crime","Extremely Long"
"The Father",1996,91,"Drama",7.5,1313,"1995","Drama","Short"
"The People vs. Larry Flynt",1996,130,"Biography,Drama",7.3,86989,"1995","Biography","Extremely Long"
"The Phantom",1996,100,"Action,Adventure,Comedy",4.9,32025,"1995","Adventure","Just Nice"
"Phenomenon",1996,123,"Drama,Fantasy,Romance",6.4,73892,"1995","Fantasy","Extremely Long"
"Picnic",1996,68,"Drama,Fantasy",7.1,1572,"1995","Drama","Very Short"
"Pinocchio's Revenge",1996,96,"Fantasy,Horror",4,1963,"1995","Horror","Short"
"The Best Job in the World",1996,105,"Comedy,Drama",5.7,1009,"1995","Comedy","Just Nice"
"Ponette",1996,97,"Drama",7.5,4078,"1995","Drama","Short"
"The Portrait of a Lady",1996,144,"Drama,Romance",6.2,10709,"1995","Drama","Extremely Long"
"The Preacher's Wife",1996,123,"Comedy,Drama,Fantasy",5.6,10788,"1995","Comedy","Extremely Long"
"Primal Fear",1996,129,"Crime,Drama,Mystery",7.7,184466,"1995","Drama","Extremely Long"
"Deep Crimson",1996,110,"Crime,Drama,Romance",7.3,1623,"1995","Romance","Long"
"Project: ALF",1996,95,"Comedy,Family,Sci-Fi",5.5,2351,"1995","Family","Short"
"The Promise",1996,90,"Comedy,Drama",7.8,7161,"1995","Drama","Very Short"
"Pusher",1996,110,"Crime,Thriller",7.4,33874,"1995","Thriller","Long"
"Pédale douce",1996,100,"Comedy",5.7,1640,"1995","Comedy","Just Nice"
"The Quest",1996,95,"Action,Adventure,Drama",5.6,23923,"1995","Drama","Short"
"Race the Sun",1996,100,"Adventure,Comedy,Drama",5.4,3018,"1995","Drama","Just Nice"
"Raja Hindustani",1996,177,"Action,Comedy,Drama",6.2,6898,"1995","Drama","Extremely Long"
"Ransom",1996,121,"Action,Crime,Thriller",6.7,117220,"1995","Thriller","Extremely Long"
"Rasputin",1996,135,"Biography,Drama,History",7.1,3388,"1995","Drama","Extremely Long"
"Rebound: The Legend of Earl 'The Goat' Manigault",1996,120,"Biography,Drama,Sport",7.7,2823,"1995","Drama","Extremely Long"
"Retroactive",1997,91,"Action,Crime,Drama",6.2,5622,"1995","Crime","Short"
"The Rich Man's Wife",1996,95,"Thriller",5.2,3027,"1995","Thriller","Short"
"Ridicule",1996,102,"Comedy,Drama,History",7.4,7089,"1995","Drama","Just Nice"
"Robinson Crusoe",1997,105,"Adventure,Drama",6,11706,"1995","Drama","Just Nice"
"The Rock",1996,136,"Action,Adventure,Thriller",7.4,308659,"1995","Thriller","Extremely Long"
"Romeo + Juliet",1996,120,"Drama,Romance",6.7,207516,"1995","Drama","Extremely Long"
"Sabotage",1996,99,"Action,Drama,Thriller",5.9,1371,"1995","Drama","Just Nice"
"Sabrina the Teenage Witch",1996,91,"Comedy,Family,Fantasy",6.3,6637,"1995","Comedy","Short"
"The Perfect Circle",1997,110,"Drama,War",8.1,1933,"1995","Drama","Long"
"Schizopolis",1996,96,"Comedy,Fantasy,Mystery",6.9,5167,"1995","Comedy","Short"
"Scream",1996,111,"Horror,Mystery",7.2,281730,"1995","Horror","Long"
"The Search for One-eye Jimmy",1994,84,"Comedy",6.2,1537,"1990","Comedy","Very Short"
"The Secret Agent",1996,95,"Drama,Thriller",5.7,2204,"1995","Thriller","Short"
"Secrets & Lies",1996,136,"Comedy,Drama",8,36792,"1995","Drama","Extremely Long"
"Set It Off",1996,123,"Action,Crime,Drama",6.9,13989,"1995","Crime","Extremely Long"
"Sgt. Bilko",1996,93,"Comedy",5.9,21254,"1995","Comedy","Short"
"Sgt. Kabukiman N.Y.P.D.",1990,105,"Action,Comedy,Crime",5.9,2726,"1990","Action","Just Nice"
"Shadow Builder",1998,120,"Action,Horror,Thriller",4.9,1354,"1995","Horror","Extremely Long"
"Shall We Dance?",1996,136,"Comedy,Drama,Music",7.6,10407,"1995","Comedy","Extremely Long"
"She's the One",1996,96,"Comedy,Drama,Romance",6,16358,"1995","Romance","Short"
"Shine",1996,105,"Biography,Drama,Music",7.7,50775,"1995","Music","Just Nice"
"Silent Trigger",1996,93,"Action,Drama,Thriller",5.5,3616,"1995","Action","Short"
"The Stendhal Syndrome",1996,120,"Horror,Mystery,Thriller",6,7486,"1995","Mystery","Extremely Long"
"Sleepers",1996,147,"Crime,Drama,Thriller",7.6,184572,"1995","Crime","Extremely Long"
"Sling Blade",1996,135,"Drama",8,86053,"1995","Drama","Extremely Long"
"Solo",1996,94,"Action,Sci-Fi,Thriller",4,4066,"1995","Sci-Fi","Short"
"Some Mother's Son",1996,112,"Drama,History",7.2,2530,"1995","Drama","Long"
"I'm Crazy About Iris Blond",1996,110,"Comedy,Romance",6.1,1185,"1995","Romance","Long"
"Space Jam",1996,88,"Adventure,Animation,Comedy",6.4,160024,"1995","Animation","Very Short"
"Conspirators of Pleasure",1996,85,"Comedy,Drama",7.4,3139,"1995","Drama","Very Short"
"The Spitfire Grill",1996,117,"Drama",7,5251,"1995","Drama","Long"
"Spy Hard",1996,81,"Action,Comedy",5.4,35664,"1995","Comedy","Very Short"
"Star Trek: First Contact",1996,111,"Action,Adventure,Drama",7.6,116628,"1995","Adventure","Long"
"Stealing Beauty",1996,118,"Drama,Mystery,Romance",6.6,25672,"1995","Romance","Long"
"Striptease",1996,115,"Comedy,Crime,Drama",4.5,42288,"1995","Drama","Long"
"The Stupids",1996,94,"Adventure,Comedy",4.3,6405,"1995","Comedy","Short"
"The Biggest Heroes",1996,90,"Comedy,Drama",6.6,1066,"1995","Comedy","Very Short"
"The Substitute",1996,114,"Action,Crime,Drama",6,12101,"1995","Crime","Long"
"The Sunchaser",1996,122,"Crime,Drama",6.2,3792,"1995","Drama","Extremely Long"
"Sunset Park",1996,99,"Drama,Sport",6,1525,"1995","Sport","Just Nice"
"Mr. Nice Guy",1997,101,"Action,Comedy,Crime",6.2,25006,"1995","Comedy","Just Nice"
"Surviving Picasso",1996,125,"Biography,Drama,Romance",6.4,6836,"1995","Biography","Extremely Long"
